Unnamed: 1,Unnamed: 6
Bayer Fine,Miruna
Bayer Fine,Iuliana
Bayer CH,Miruna
Bayer CH,Iuliana
Bayer Nutrition,Miruna
Campari,Miruna
Campari,Maria
Campari SEMEA,Miruna
Campari SEMEA,Maria
Circet,Michael
Coca-Cola,Miruna
Diageo Innovation,Miruna
Diageo Innovation,Maria
Diageo eCommerce,Miruna
Diageo eCommerce,Maria
Essity,Marine
General Mills,Sofia
General Mills,Linh
Haleon,Miruna
Haleon,Iuliana
Henkel ACC,Marine
Henkel ACC - North America,Marine
Henkel ACM,Marine
Henkel AMI,Marine
Henkel AOD,Marine
Henkel Beauty Professional,Marine
Henkel E-commerce,Marine
HP Sales,Michael
HP Sales,Linh
HP,Michael
HP,Linh
HP Finance - Pursuit Team,Michael
HP Finance - Pursuit Team,Linh
HP Finance - CSM Team,Michael
HP Finance - CSM Team,Linh
Kraft Heinz,Sofia
Kraft Heinz,Fiona
Logitech,Marine
LVMH,Michael
Mars,Sofia
Mars,Alberta
"Mars 
Royal Canin 
(sub platform from Mars)",Sofia
"Mars 
Royal Canin 
(sub platform from Mars)",Alberta
Mars Digital Tranformation,Sofia
Mars Digital Tranformation,Fiona
Mars Growth Capabilities ,Sofia
Mars Growth Capabilities ,Fiona
Merck Oncology,Miruna
Merck Oncology,Iuliana
Merck Fertility,Miruna
Merck Fertility,Iuliana
Mondelez,Sofia
Mondelez,Fiona
Mondelez,Sofia
Mondelez,Fiona
Nestlé Confectionery,Sofia
Nestlé Confectionery,Alberta
Nestlé eCom,Sofia
Nestlé eCom,Alberta
Organon,Sofia
Organon,Linh
Puig,Sofia
Puig,Alberta
Reckitt ,Marine
Sandoz ,Miruna
Sonepar,Michael
Suntory - DEI,Miruna
Suntory - Holding DC community,Miruna
Suntory Global Spirits,Miruna
Suntory Global Spirits,Maria
Suntory GB&I,Miruna
Suntory GB&I,Maria
"Unilever
Ice Cream",Sofia
"Unilever
Ice Cream",Alberta
Unilever Lux,Sofia
Unilever Lux,Linh
